Population,Poverty Count,Poverty Rate,County
1494876.0,173156.0,11.583301892598449,001
1167.0,170.0,14.567266495287061,003
38244.0,3372.0,8.817069344210857,005
219309.0,42283.0,19.280102503773215,007
45794.0,3751.0,8.191029392496834,009
21297.0,3029.0,14.222660468610602,011
1037817.0,101562.0,9.786118361907736,013
28561.0,5313.0,18.602289835790064,015
179878.0,15010.0,8.344544635808715,017
920623.0,211140.0,22.93446937562933,019
28027.0,5166.0,18.432226067720414,021
133585.0,23833.0,17.841074970992253,023
171343.0,37463.0,21.864330611697007,025
18457.0,2127.0,11.524083003738419,027
829254.0,169635.0,20.456337865117323,029
152335.0,26042.0,17.09521777661076,031
64392.0,13543.0,21.032115790781464,033
35001.0,3562.0,10.176852089940287,035
9787747.0,1566066.0,16.00027054234238,037
149611.0,27777.0,18.566148211027265,039
250666.0,17502.0,6.98219942074314,041
18290.0,2611.0,14.275560415527611,043
87525.0,15298.0,17.478434732933447,045
253606.0,57461.0,22.65758696560807,047
9587.0,1816.0,18.942317721915092,049
14016.0,1554.0,11.087328767123287,051
411385.0,59315.0,14.418367222917706,053
135377.0,12906.0,9.533377161556247,055
98392.0,10072.0,10.236604602000163,057
2989948.0,320473.0,10.718346941150816,059
343554.0,24576.0,7.153460591348085,061
20192.0,2680.0,13.272583201267828,063
2154844.0,301763.0,14.003937175962623,065
1408480.0,205715.0,14.605461206406908,067
54873.0,6179.0,11.260547081442605,069
2023452.0,317059.0,15.669212810583103,071
3060849.0,387565.0,12.66200978878736,073
797983.0,96801.0,12.13070955145661,075
680277.0,110748.0,16.279838947957963,077
267871.0,33330.0,12.44255630508715,079
711622.0,48891.0,6.870360950054945,081
419793.0,57170.0,13.61861679446775,083
1762754.0,160396.0,9.099170956355794,085
259402.0,34382.0,13.2543311154116,087
177231.0,30023.0,16.940038706546822,089
3277.0,540.0,16.47848642050656,091
44687.0,8085.0,18.092510125987424,093
411620.0,42525.0,10.331130654487149,095
478551.0,50592.0,10.571913965282697,097
512469.0,91291.0,17.813955575849466,099
94192.0,14125.0,14.995965687107185,101
62985.0,12796.0,20.315948241644836,103
13711.0,2366.0,17.256217635475167,105
436234.0,102165.0,23.419770123374153,107
55736.0,6850.0,12.29008181426726,109
815745.0,79964.0,9.802573108017825,111
198889.0,35674.0,17.936638024224568,113
71817.0,14222.0,19.803110684099863,115
