Population,Poverty Count,Poverty Rate,County
1605217.0,189590.0,11.810864200914892,001
1184.0,221.0,18.66554054054054,003
36963.0,3684.0,9.966723480236993,005
223877.0,46456.0,20.750680060926314,007
44787.0,5641.0,12.595172706365686,009
21361.0,2859.0,13.384204859323065,011
1107925.0,111922.0,10.101947333980188,013
27628.0,5219.0,18.89025626176343,015
183000.0,17839.0,9.748087431693989,017
963160.0,254872.0,26.462062378005733,019
27976.0,5578.0,19.93851873034029,021
135182.0,27641.0,20.447248894083533,023
178807.0,40552.0,22.679201597252906,025
18326.0,1905.0,10.395067117756193,027
871337.0,194354.0,22.30526191358797,029
150261.0,28661.0,19.074144322212682,031
64076.0,15561.0,24.28522379674137,033
31945.0,3558.0,11.137893254030365,035
10057155.0,1764081.0,17.54055694677073,037
153366.0,32043.0,20.893157544697,039
259358.0,20445.0,7.882926302639595,041
17645.0,2849.0,16.146217058656845,043
87409.0,17366.0,19.867519362994656,045
265001.0,62661.0,23.645571148788118,047
9033.0,1483.0,16.417579984501273,049
14051.0,1222.0,8.696889901074657,051
430201.0,66289.0,15.408843773027026,053
140823.0,12086.0,8.582404862842008,055
98639.0,11835.0,11.998296819716339,057
3132211.0,385556.0,12.309387841368286,059
370571.0,31932.0,8.616972186166754,061
18754.0,2346.0,12.509331342646902,063
2323892.0,376689.0,16.20940215810373,065
1479300.0,260877.0,17.63516528087609,067
58051.0,6224.0,10.721606862930871,069
2106754.0,392195.0,18.616079523285585,071
3253356.0,444024.0,13.648183598720829,073
850282.0,104180.0,12.252405672471015,075
714860.0,124587.0,17.428167753126488,077
278680.0,37208.0,13.35151428161332,079
754748.0,57490.0,7.617111936699402,081
439395.0,66880.0,15.220928777068469,083
1885056.0,172213.0,9.135696764446255,085
270931.0,39211.0,14.472688618135244,087
179228.0,30945.0,17.26571741022608,089
2931.0,329.0,11.224837939269873,091
43668.0,9524.0,21.81002106805899,093
429596.0,53265.0,12.398858462369295,095
497776.0,55095.0,11.068231493683905,097
530561.0,95739.0,18.04486194801352,099
95406.0,16535.0,17.33119510303335,101
63015.0,13363.0,21.206062048718557,103
13180.0,2607.0,19.77996965098634,105
455769.0,127130.0,27.893516233004,107
53864.0,7176.0,13.322441705034903,109
843110.0,88486.0,10.49519042592307,111
209671.0,38898.0,18.551921820375732,113
73897.0,15080.0,20.406782413359135,115
