Population,Poverty Count,Poverty Rate,County
1584983.0,194639.0,12.280194803351202,001
1131.0,195.0,17.24137931034483,003
36995.0,4191.0,11.328557913231517,005
222564.0,47532.0,21.35655362053162,007
44767.0,5590.0,12.486876493845914,009
21396.0,3171.0,14.820527201346046,011
1096068.0,117915.0,10.758000416032582,013
27788.0,5207.0,18.738304304016122,015
182093.0,18831.0,10.341418945264234,017
956749.0,252187.0,26.35874194799263,019
28029.0,5721.0,20.41100288986407,021
135034.0,28158.0,20.85252603048121,023
178206.0,40114.0,22.50990426809423,025
18373.0,2019.0,10.98895117835955,027
865736.0,195744.0,22.61012595063622,029
150998.0,29900.0,19.80158677598379,031
64158.0,15597.0,24.310296455625174,033
32645.0,3563.0,10.9143819880533,035
10038388.0,1800265.0,17.9338057066533,037
153187.0,33968.0,22.174205382963308,039
258349.0,20964.0,8.114604662684973,041
17789.0,2651.0,14.902467817190399,043
87544.0,17527.0,20.020789545828382,045
263885.0,67417.0,25.547871231786573,047
9184.0,1673.0,18.216463414634145,049
14146.0,684.0,4.835289127668599,051
428441.0,69475.0,16.215768332162423,053
140295.0,14020.0,9.993228554118108,055
98570.0,12367.0,12.546413716140814,057
3116069.0,395483.0,12.69172794312321,059
366280.0,32427.0,8.853063230315605,061
18966.0,2687.0,14.167457555625857,063
2298032.0,379985.0,16.535235366609342,065
1465832.0,262251.0,17.890931566509668,067
57557.0,6202.0,10.775405250447383,069
2094769.0,397766.0,18.98853763827897,071
3223096.0,454876.0,14.113014319151524,073
840763.0,109524.0,13.02673880748796,075
708554.0,129390.0,18.261134648876443,077
276517.0,38630.0,13.97020797997953,079
748731.0,59232.0,7.91098538727527,081
435850.0,68017.0,15.60559825628083,083
1868149.0,175690.0,9.404496108179808,085
269278.0,39053.0,14.50285578472805,087
178942.0,31707.0,17.71914922153547,089
3021.0,438.0,14.498510427010924,091
43895.0,10026.0,22.84087025857159,093
425753.0,55534.0,13.043713138838717,095
495078.0,57179.0,11.549493211170764,097
527367.0,105927.0,20.086012207817326,099
95247.0,16743.0,17.578506409650696,101
63152.0,12313.0,19.497403090955157,103
13373.0,2562.0,19.15800493531743,105
454033.0,125775.0,27.70173093145212,107
54079.0,7010.0,12.962517798036206,109
840833.0,91880.0,10.927259039547687,111
207320.0,39688.0,19.143353270306772,113
73437.0,15862.0,21.599466209131638,115
