Population,Poverty Count,Poverty Rate,County
1535248.0,188501.0,12.278211728658823,001
1165.0,184.0,15.793991416309012,003
37422.0,4150.0,11.089733311955534,005
220542.0,43942.0,19.924549518912496,007
45147.0,4849.0,10.740470020156378,009
21366.0,2635.0,12.332678086679772,011
1065794.0,111173.0,10.43100261401359,013
28357.0,5406.0,19.06407588955108,015
180982.0,16206.0,8.954481661159674,017
939605.0,239584.0,25.498374316867196,019
28054.0,5198.0,18.528552078135025,021
134613.0,26600.0,19.760350040486433,023
175201.0,38286.0,21.852614996489745,025
18482.0,2309.0,12.493236662698843,027
848204.0,186811.0,22.02430075783656,029
151806.0,28019.0,18.45710973215815,031
64260.0,15860.0,24.680983504512916,033
34018.0,3953.0,11.620318654829797,035
9893481.0,1737224.0,17.55927969134423,037
151435.0,32604.0,21.530029385544953,039
254643.0,19121.0,7.508943894000621,041
18061.0,2876.0,15.923813742317702,043
87497.0,17221.0,19.68181766231985,045
258707.0,64490.0,24.927814090844084,047
9468.0,1917.0,20.247148288973385,049
14217.0,1197.0,8.419497784342688,051
420569.0,68185.0,16.21255965132951,053
137837.0,13563.0,9.839883340467363,055
98509.0,11696.0,11.873026830035835,057
3051771.0,373049.0,12.224016808600645,059
355924.0,30850.0,8.667580719479439,061
19586.0,2917.0,14.893291126314715,063
2228528.0,355511.0,15.952727540331555,065
1435207.0,248304.0,17.300918961515656,067
56115.0,6639.0,11.831061213579257,069
2056915.0,375280.0,18.24479864262743,071
3138265.0,441648.0,14.07299893412443,073
817501.0,108306.0,13.248424160949039,075
693177.0,123115.0,17.76097591235716,077
272094.0,36588.0,13.446823524223246,079
729543.0,54905.0,7.525944324049439,081
427288.0,65740.0,15.385407500327648,083
1812208.0,181376.0,10.008564138332906,085
264808.0,37239.0,14.06264161203589,087
177966.0,30575.0,17.180247912522617,089
3127.0,599.0,19.15574032619124,091
44503.0,9216.0,20.708716266319126,093
417258.0,52358.0,12.548111719847192,095
487469.0,57048.0,11.702898030438858,097
518321.0,104173.0,20.09816310741799,099
94787.0,15596.0,16.453733106860646,101
63241.0,12271.0,19.403551493493147,103
13638.0,2579.0,18.91039741897639,105
446644.0,115313.0,25.817653433159293,107
54728.0,7411.0,13.541514398479755,109
829017.0,90471.0,10.913045208964352,111
202288.0,37188.0,18.38369057976746,113
72574.0,15392.0,21.20869732962218,115
